class,common_name,scientific_name,iucn_status,inat_taxon_id,sa_observations,photo_url
Aves,Egyptian Goose,Alopochen aegyptiaca,Least Concern,72486,12768,https://inaturalist-open-data.s3.amazonaws.com/photos/130517490/medium.jpeg
Aves,Hadada Ibis,Bostrychia hagedash,Least Concern,3743,10288,https://static.inaturalist.org/photos/73848759/medium.jpg
Aves,Helmeted Guineafowl,Numida meleagris,Least Concern,1428,8537,https://inaturalist-open-data.s3.amazonaws.com/photos/199644869/medium.jpg
Aves,Southern Fiscal,Lanius collaris,Least Concern,204531,8197,https://inaturalist-open-data.s3.amazonaws.com/photos/284099565/medium.jpeg
Aves,Blacksmith Lapwing,Vanellus armatus,Least Concern,4870,7988,https://inaturalist-open-data.s3.amazonaws.com/photos/259641949/medium.jpg
Aves,Cape Wagtail,Motacilla capensis,Least Concern,13699,7082,https://inaturalist-open-data.s3.amazonaws.com/photos/54496010/medium.jpg
Aves,Southern Masked Weaver,Ploceus velatus,Least Concern,13804,6950,https://inaturalist-open-data.s3.amazonaws.com/photos/333356/medium.JPG
Aves,Red-eyed Dove,Streptopelia semitorquata,Least Concern,2988,6874,https://inaturalist-open-data.s3.amazonaws.com/photos/1954844/medium.jpg
Aves,Cape Sparrow,Passer melanurus,Least Concern,13853,6789,https://inaturalist-open-data.s3.amazonaws.com/photos/5856531/medium.jpg
Aves,Cape Weaver,Ploceus capensis,Least Concern,13801,6713,https://inaturalist-open-data.s3.amazonaws.com/photos/22757/medium.jpg
Aves,Laughing Dove,Spilopelia senegalensis,Least Concern,1455922,6671,https://inaturalist-open-data.s3.amazonaws.com/photos/2951884/medium.jpg
Aves,Kelp Gull,Larus dominicanus,Least Concern,4388,6488,https://inaturalist-open-data.s3.amazonaws.com/photos/131558116/medium.jpg
Aves,Red-winged Starling,Onychognathus morio,Least Concern,204554,6327,https://inaturalist-open-data.s3.amazonaws.com/photos/355116921/medium.jpeg
Aves,Grey Heron,Ardea cinerea,Least Concern,4954,6102,https://inaturalist-open-data.s3.amazonaws.com/photos/73516715/medium.jpg
